SMILES,Smiles_Solvent,Smiles_Merged,Predicted_LogS,Prediction_Status,Prediction_Error
CCN1C(=CC=C2CCC(C=Cc3sc4ccccc4[n+]3CC)=C2Cl)Sc2ccccc21,O,CC[n+]1c2ccccc2sc12~O~N1(CC)C(=CC=C3CCC(=C3Cl)C=C2)Sc2ccccc21,,failed,Featurization failed: RDKit could not parse Smiles_Merged
CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C,O,CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC2(~O~O2)CC1(C)C,-6.341320991516113,ok,
CC1(C)C(C=CC2=C(Cl)C(=CC=C3N(CCCCCC(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCCCCC(=O)O)c2ccccc21.[Br-],O,CC1(C)C(=CC=C2CCCC(C=CC3=[N+](CCCCCC(=O)(O)~O~[Br-])c4ccccc4C3(C)C)=C2Cl)N(CCCCCC(=O)O)c2ccccc21,-5.3486199378967285,ok,
CC1(C)C(/C=C/C=C/C=C/C=C2/N(CCCCS(=O)(=O)O[Na])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,O,CC1(C)C2=[N+](CCCCS(=O)(=O)[O-]~O~C(/C=C/C=C3/N(CCCCS(=O)(=O)O[Na])c4ccc5ccccc5c4C3(C)C)=C\C=C\2)c2ccc3ccccc3c21,-3.9751527309417725,ok,
CC(C)(C)C1=CC(=CC=CC=Cc2cc(C(C)(C)C)c3ccccc3[o+]2)Oc2ccccc21,O,CC(C)(C)C1=CC2=CC=CC=Cc3cc(C(C)(C)C)c4ccccc4(~O~O2c2ccccc21)[o+]3,-10.43283462524414,ok,
CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C,O,CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C2(=O)~O~OC2CC1(C)C,-5.9145355224609375,ok,
CCCN1/C(=C\C=C2/CCCC(/C=C/C3=[N+](CCC)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21.[I-],O,CCCN1/C(=C\C=C2/CCCC(/C=C/C3=[N+](CCC)c4(~O~[I-])ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,-7.217012405395508,ok,
C[N+]1=C(C=CC=CC=CN2CCOCC2)C(C)(C)c2ccccc21,O,C[N+]1=C2C=CC=CC=CN3CCO(~O~c14ccccc4C2(C)C)CC3,-3.3620638847351074,ok,
CN(C)/C=C/C=C/C=C1\CC[n+]2c1sc1ccccc12,O,CN1(C)~O~c23sc4ccccc4[n+]2CC/C3=C\C=C\C=C\1,-5.5415143966674805,ok,
CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C,O,CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C2(~O~O=2)CCC1(C)C,-5.665128707885742,ok,
CN1/C(=C/C=C/C=C2\c3cc([N+](=O)[O-])ccc3-c3c2cc([N+](=O)[O-])cc3[N+](=O)[O-])C(C)(C)c2ccccc21,O,CC1(C)/C2=C\C=C\C=C3/c4cc([N+](=O)[O-])ccc4-c4c3cc([N+](=O)[O-])cc4([N+](=O)[O-])~O~N2(C)c2ccccc21,-7.007295608520508,ok,
CC(C=CC=C(C)C=CC1=C(C)C(=O)[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)[C@@H](O)CC1(C)C,O,CC(C=CC=C(C)C=CC1=C(C)C(=O)[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C2(=O)~O~O[C@H]2CC1(C)C,-5.642058849334717,ok,
