SMILES,Smiles_Solvent,Smiles_Merged,Predicted_LogS,Prediction_Status,Prediction_Error
[K+].[K+].[O-]S([O-])(=O)=O,CS(C)=O,CS(C)(=O~[K+])~[O-]S(=O)(=O)[O-].[K+],-3.5796916484832764,ok,
CN1/C(=C\C=C2/CCCC(C=CC3=[N+](C)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,CS(C)=O,C[N+]1=C2C=CC3=C(Cl)/C(=C/C=C4/C(C)(C)c5ccccc5N4(C)~S(C)(C)=O~c14ccccc4C2(C)C)CCC3,-3.41097354888916,ok,
CCN1C(=O)/C(=C\C=C\C=C\C=C2\N(C)c3ccccc3C2(C)C)SC1=S,CS(C)=O,CCN1C(=S)S/C2=C/C=C/C=C/C=C3\C(C)(C)c4ccccc4N3(C)~S(C)(C)=O~C21=O,-3.2015373706817627,ok,
CC(C=CC=C(C)C=CC(=O)[C@@]1(C)C[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C[C@H](O)CC1(C)C,CS(C)=O,CC(C=CC=C(C)C=CC1=C(C)C[C@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1(=O)~O=S(C)(C)~O[C@H]2CC(C)(C)[C@]1(C)C2,-3.133155584335327,ok,
CC(C=O)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,CS(C)=O,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C1~O=S(C)(C)~O=1,-2.2609775066375732,ok,
CC(C=CC=C(C)C=CC(=O)[C@]1(C)C[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C[C@@H](O)CC1(C)C,CS(C)=O,CC(C=CC=C(C)C=CC1=C(C)C[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1(=O)~O=S(C)(C)~O[C@H]2CC(C)(C)[C@@]1(C)C2,-2.8187787532806396,ok,
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3\N(CCCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccccc21.[Na+],CS(C)=O,CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3\N(CCCCS(=O)(=O)[O-]~S(C)(C)=O~[Na+])c4ccccc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccccc21,-2.7789905071258545,ok,
CC(C=CC=C(C)C=CC1=C(C)C[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C[C@@H](O)CC1(C)C,CS(C)=O,CC(C=CC=C(C)C=CC1=C(C)C[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC2(~O=S(C)(C)~O2)CC1(C)C,-3.328216314315796,ok,
CC1(C)C(=CC=C2CCCC(C=CC3=[N+](CCCCCC(=O)O)c4ccccc4C3(C)C)=C2Cl)N(CCCCCC(=O)O)c2ccccc21,CS(C)=O,CC1(C)C2=CC=C3CCCC(=C3Cl)C=CC3=[N+](CCCCCC(=O)(O)~O=S(C)(C)~OC(=O)CCCCCN2c2ccccc21)c1ccccc1C3(C)C,-2.32123064994812,ok,
CCN1C(=CC=C2CCC(C=Cc3sc4ccccc4[n+]3CC)=C2Cl)Sc2ccccc21,CS(C)=O,CC[n+]1c2ccccc2sc12~O=S(C)(C)~N1(CC)C(=CC=C3CCC(=C3Cl)C=C2)Sc2ccccc21,,failed,Featurization failed: RDKit could not parse Smiles_Merged
CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C,CS(C)=O,CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC2(~O=S(C)(C)~O2)CC1(C)C,-3.2819712162017822,ok,
CC1(C)C(C=CC2=C(Cl)C(=CC=C3N(CCCCCC(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCCCCC(=O)O)c2ccccc21.[Br-],CS(C)=O,CC1(C)C(=CC=C2CCCC(C=CC3=[N+](CCCCCC(=O)(O)~O=S(C)(C)~[Br-])c4ccccc4C3(C)C)=C2Cl)N(CCCCCC(=O)O)c2ccccc21,-3.2486422061920166,ok,
CC1(C)C(/C=C/C=C/C=C/C=C2/N(CCCCS(=O)(=O)O[Na])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,CS(C)=O,CC1(C)C2=[N+](CCCCS(=O)(=O)[O-]~S(C)(C)=O~C(/C=C/C=C3/N(CCCCS(=O)(=O)O[Na])c4ccc5ccccc5c4C3(C)C)=C\C=C\2)c2ccc3ccccc3c21,-3.0776450634002686,ok,
CC(C)(C)C1=CC(=CC=CC=Cc2cc(C(C)(C)C)c3ccccc3[o+]2)Oc2ccccc21,CS(C)=O,CC(C)(C)C1=CC2=CC=CC=Cc3cc(C(C)(C)C)c4ccccc4(~O=S(C)(C)~O2c2ccccc21)[o+]3,-8.369264602661133,ok,
CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C,CS(C)=O,CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C2(=O)~O=S(C)(C)~OC2CC1(C)C,-3.0113751888275146,ok,
CCCN1/C(=C\C=C2/CCCC(/C=C/C3=[N+](CCC)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21.[I-],CS(C)=O,CCCN1/C(=C\C=C2/CCCC(/C=C/C3=[N+](CCC)c4(~O=S(C)(C)~[I-])ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,-4.02818489074707,ok,
C[N+]1=C(C=CC=CC=CN2CCOCC2)C(C)(C)c2ccccc21,CS(C)=O,C[N+]1=C2C=CC=CC=CN3CCO(~S(C)(C)=O~c14ccccc4C2(C)C)CC3,-2.051755905151367,ok,
CN(C)/C=C/C=C/C=C1\CC[n+]2c1sc1ccccc12,CS(C)=O,CN1(C)~S(C)(C)=O~c23sc4ccccc4[n+]2CC/C3=C\C=C\C=C\1,-2.6617887020111084,ok,
CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C,CS(C)=O,CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C2(~O=S(C)(C)~O=2)CCC1(C)C,-3.003135919570923,ok,
CN1/C(=C/C=C/C=C2\c3cc([N+](=O)[O-])ccc3-c3c2cc([N+](=O)[O-])cc3[N+](=O)[O-])C(C)(C)c2ccccc21,CS(C)=O,CC1(C)/C2=C\C=C\C=C3/c4cc([N+](=O)[O-])ccc4-c4c3cc([N+](=O)[O-])cc4([N+](=O)[O-])~O=S(C)(C)~N2(C)c2ccccc21,-3.9144835472106934,ok,
CC(C=CC=C(C)C=CC1=C(C)C(=O)[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)[C@@H](O)CC1(C)C,CS(C)=O,CC(C=CC=C(C)C=CC1=C(C)C(=O)[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C2(=O)~O=S(C)(C)~O[C@H]2CC1(C)C,-2.809601068496704,ok,
CC[N+]1=C(/C=C/C=C/C=C/C=C2/N(CCCCCC(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,CS(C)=O,CC[N+]1=C2/C=C/C=C/C=C/C=C3/N(CCCCCC(=O)(O)~O=S(C)(C)~[O-]S(=O)(=O)c4ccc1c(c4)C2(C)C)c1ccc(S(=O)(=O)O)cc1C3(C)C,-3.3822991847991943,ok,
