epoch,train_rmse,valid_rmse,train_r2,valid_r2,best_valid_rmse,is_best,elapsed_sec,learning_rate,batch_size,num_layers,num_timesteps,graph_feat_size,dropout,seed
1,1.5083604567752111,1.5380511292668808,0.07761868134644041,0.0885704300296369,1.5380511292668808,1,8.536,0.001,128,3,3,200,0.2,42
2,1.4851687959716324,1.518894330448483,0.11515182555293421,0.13062327803326543,1.518894330448483,1,15.765,0.001,128,3,3,200,0.2,42
3,1.3922566637572207,1.4093890614242661,0.22443221718973974,0.25540721332121746,1.4093890614242661,1,23.094,0.001,128,3,3,200,0.2,42
4,1.3389501898639387,1.2987607343111822,0.3227845838308915,0.37838593059326714,1.2987607343111822,1,30.389,0.001,128,3,3,200,0.2,42
5,1.2543213788304253,1.2221386201682154,0.3648198204524833,0.43716284894901564,1.2221386201682154,1,37.739,0.001,128,3,3,200,0.2,42
6,1.1755183373144713,1.1525379325476637,0.4447761592055906,0.5026440280245082,1.1525379325476637,1,45.102,0.001,128,3,3,200,0.2,42
7,1.149088191261977,1.123719678517735,0.47327032615130593,0.5281622834246837,1.123719678517735,1,52.4,0.001,128,3,3,200,0.2,42
8,1.0861221592013777,1.0414364131657479,0.5270131171934709,0.5901028437749396,1.0414364131657479,1,59.799,0.001,128,3,3,200,0.2,42
9,1.0558835916265188,1.0294635985231442,0.5597457453399505,0.6098509496791615,1.0294635985231442,1,67.063,0.001,128,3,3,200,0.2,42
10,1.1200021834190161,1.1037403170649167,0.5835641932495155,0.6350023514885366,1.0294635985231442,0,74.263,0.001,128,3,3,200,0.2,42
11,1.0194965786761008,0.9758636080965978,0.5767930998856441,0.6318662873129507,0.9758636080965978,1,81.498,0.001,128,3,3,200,0.2,42
12,0.9906985766101832,0.9693571567374564,0.6093057260024779,0.6494377794538765,0.9693571567374564,1,88.709,0.001,128,3,3,200,0.2,42
13,0.9738734856542702,0.94954860571912,0.6150076799209305,0.6522965165861002,0.94954860571912,1,95.925,0.001,128,3,3,200,0.2,42
14,0.9960270328955182,0.9921431076980195,0.6169724581698073,0.6506291814386164,0.94954860571912,0,103.123,0.001,128,3,3,200,0.2,42
15,0.9602687418172356,0.9406104859542983,0.6467285197285654,0.6733029069952441,0.9406104859542983,1,110.533,0.001,128,3,3,200,0.2,42
16,0.9794838183060478,0.958097858137015,0.6605671849721197,0.6831925976803233,0.9406104859542983,0,117.757,0.001,128,3,3,200,0.2,42
17,0.9298574503919811,0.9377286003643734,0.6577901912989739,0.6761085364557486,0.9377286003643734,1,125.057,0.001,128,3,3,200,0.2,42
18,0.8996279885565183,0.9079494377700917,0.6755266649696152,0.6891974488232729,0.9079494377700917,1,132.364,0.001,128,3,3,200,0.2,42
19,0.8772542755581273,0.8851057654101017,0.6923615446605902,0.7037025755007362,0.8851057654101017,1,139.614,0.001,128,3,3,200,0.2,42
20,0.91814917871228,0.9436174840831054,0.6810811099947264,0.6883849808426991,0.8851057654101017,0,146.981,0.001,128,3,3,200,0.2,42
21,0.8855483357281244,0.9224542974659239,0.7033448756451331,0.7001605315831805,0.8851057654101017,0,154.11,0.001,128,3,3,200,0.2,42
22,0.8880284466121923,0.9224195865979542,0.6933772313114148,0.6911759862205528,0.8851057654101017,0,161.256,0.001,128,3,3,200,0.2,42
23,0.8400480272473017,0.882031317776341,0.7191291621874698,0.7102811240164418,0.882031317776341,1,168.515,0.001,128,3,3,200,0.2,42
24,0.8388513223288379,0.879044886428987,0.7150947581030846,0.7054944448202877,0.879044886428987,1,176.06,0.001,128,3,3,200,0.2,42
25,0.850517343082714,0.8910840272303767,0.7122392743195166,0.7036996961082866,0.879044886428987,0,183.322,0.001,128,3,3,200,0.2,42
26,0.8089236062459346,0.8462456018088769,0.7355017667321556,0.7272986325876504,0.8462456018088769,1,190.512,0.001,128,3,3,200,0.2,42
27,0.8437677873178928,0.9004870984896463,0.7466000382946174,0.7310297553716597,0.8462456018088769,0,197.676,0.001,128,3,3,200,0.2,42
28,0.7759417245792579,0.8452589228743517,0.7562608777288855,0.7268475035032192,0.8452589228743517,1,204.95,0.001,128,3,3,200,0.2,42
29,0.8000162977359339,0.8668737737760526,0.7480022623158624,0.7224220287640526,0.8452589228743517,0,212.282,0.001,128,3,3,200,0.2,42
30,0.8039738562095979,0.8756912081349467,0.7533533353959025,0.7252712613154325,0.8452589228743517,0,219.47,0.001,128,3,3,200,0.2,42
31,0.7651452638278637,0.8378886408381799,0.7661420404399871,0.7313014320930803,0.8378886408381799,1,226.918,0.001,128,3,3,200,0.2,42
32,0.778761170316939,0.8646146924430078,0.7676315928563463,0.7310318714846619,0.8378886408381799,0,234.092,0.001,128,3,3,200,0.2,42
33,0.773478341760356,0.8467464992889461,0.7634626185753495,0.726468251738132,0.8378886408381799,0,241.209,0.001,128,3,3,200,0.2,42
34,0.7535045928148766,0.8387672902539721,0.7921160983222009,0.748533735163485,0.8378886408381799,0,248.266,0.001,128,3,3,200,0.2,42
35,0.7181747050066748,0.8172082862771318,0.7923622022604573,0.744497865724145,0.8172082862771318,1,255.526,0.001,128,3,3,200,0.2,42
36,0.7065431842588201,0.8105125067283123,0.7974849069170202,0.7459637342163323,0.8105125067283123,1,262.702,0.001,128,3,3,200,0.2,42
37,0.6912392376741784,0.800256875370878,0.8074100137048764,0.7566758297985438,0.800256875370878,1,269.916,0.001,128,3,3,200,0.2,42
38,0.7164266748231052,0.8159471372454187,0.7955168168705026,0.7449239056654464,0.800256875370878,0,277.236,0.001,128,3,3,200,0.2,42
39,0.6821933403617869,0.8108732331381043,0.8120091667580723,0.7475392126519378,0.800256875370878,0,284.601,0.001,128,3,3,200,0.2,42
40,0.6811851803895843,0.819296604647034,0.8214369329291936,0.7540624844560103,0.800256875370878,0,291.763,0.001,128,3,3,200,0.2,42
41,0.6579277421407246,0.7950232812924323,0.8241369564158701,0.755870231878421,0.7950232812924323,1,298.94,0.001,128,3,3,200,0.2,42
42,0.6778030990048468,0.8236922171012857,0.8325517318282765,0.7567448722408694,0.7950232812924323,0,306.084,0.001,128,3,3,200,0.2,42
43,0.6688084864082195,0.81188237403075,0.8301539096191684,0.7531644129379496,0.7950232812924323,0,313.312,0.001,128,3,3,200,0.2,42
44,0.6238987418774667,0.7874598213643493,0.8427882362127942,0.7626055776421855,0.7874598213643493,1,320.747,0.001,128,3,3,200,0.2,42
45,0.6544688302010203,0.82695461023439,0.841089768808718,0.7523651732800852,0.7874598213643493,0,328.021,0.001,128,3,3,200,0.2,42
46,0.639218046395429,0.8109535914681386,0.8403760961961114,0.756621648617861,0.7874598213643493,0,335.275,0.001,128,3,3,200,0.2,42
47,0.615038111659229,0.7976235229337783,0.850481542062956,0.7579181009366308,0.7874598213643493,0,342.536,0.001,128,3,3,200,0.2,42
48,0.6203071150000327,0.8059061284824829,0.845002963510449,0.7510635456152503,0.7874598213643493,0,349.878,0.001,128,3,3,200,0.2,42
49,0.5954922869915937,0.7852018176082785,0.8558529793229297,0.7622397509403938,0.7852018176082785,1,357.214,0.001,128,3,3,200,0.2,42
50,0.6123893646375581,0.806180804708134,0.8599087425785128,0.7610741726164538,0.7852018176082785,0,364.497,0.001,128,3,3,200,0.2,42
51,0.6009173669685506,0.7840892480090653,0.8623347939359447,0.772516947782175,0.7840892480090653,1,371.882,0.001,128,3,3,200,0.2,42
52,0.550745278873747,0.7705702567418637,0.8767465458160786,0.7714461791939565,0.7705702567418637,1,379.217,0.001,128,3,3,200,0.2,42
53,0.5661496127929726,0.8011169551087918,0.8766898797555734,0.7555111443221042,0.7705702567418637,0,386.402,0.001,128,3,3,200,0.2,42
54,0.5553716040881277,0.795423345590124,0.8781179987575144,0.7597054173181625,0.7705702567418637,0,393.714,0.001,128,3,3,200,0.2,42
55,0.537125583246838,0.7951869098506782,0.8845974099123648,0.7629697659363973,0.7705702567418637,0,400.871,0.001,128,3,3,200,0.2,42
56,0.5306604265862256,0.7903646240585362,0.8853940659705124,0.7603556288959082,0.7705702567418637,0,407.883,0.001,128,3,3,200,0.2,42
57,0.5279519440954452,0.8086458359864543,0.8913936760225284,0.7602534662597791,0.7705702567418637,0,415.129,0.001,128,3,3,200,0.2,42
58,0.5235651560961855,0.7932450396396962,0.894094098108918,0.7652353927734905,0.7705702567418637,0,422.377,0.001,128,3,3,200,0.2,42
59,0.49084179277042117,0.7802060350273726,0.9020312509137006,0.7679232905316425,0.7705702567418637,0,429.475,0.001,128,3,3,200,0.2,42
60,0.5135005686072955,0.801565733356385,0.9069120416660225,0.7648031742596033,0.7705702567418637,0,436.571,0.001,128,3,3,200,0.2,42
61,0.4861321387387446,0.7879591751458709,0.9058317638447438,0.7633929758768366,0.7705702567418637,0,443.79,0.001,128,3,3,200,0.2,42
62,0.5049962809913457,0.7989528635852583,0.9088869576645631,0.7720239921169071,0.7705702567418637,0,450.898,0.001,128,3,3,200,0.2,42
63,0.5274559892419693,0.812790580416662,0.9080936897653233,0.7612876369757353,0.7705702567418637,0,458.07,0.001,128,3,3,200,0.2,42
64,0.4620908915424677,0.7926506484902608,0.9183793307744806,0.7680056684959253,0.7705702567418637,0,465.256,0.001,128,3,3,200,0.2,42
65,0.45944807143814015,0.7902796996039134,0.9150970741940126,0.7590369680902872,0.7705702567418637,0,472.39,0.001,128,3,3,200,0.2,42
66,0.4724649180084994,0.8051149430280883,0.9150592976827985,0.7652029841871352,0.7705702567418637,0,479.56,0.001,128,3,3,200,0.2,42
67,0.4203568193379018,0.77906955921541,0.9299535899518604,0.7656872789834077,0.7705702567418637,0,486.751,0.001,128,3,3,200,0.2,42
68,0.4159282113748721,0.7818524741502064,0.9299887417437994,0.7700138636864219,0.7705702567418637,0,494.062,0.001,128,3,3,200,0.2,42
69,0.4202059338321085,0.7879563762834404,0.9316608572645467,0.7639588941436164,0.7705702567418637,0,501.426,0.001,128,3,3,200,0.2,42
